school,logo,type,color,alt_color
Millsaps,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Millsaps.jpg,DIII,#000000,#ffffff
Minnesota-Morris,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Minnesota-Morris.jpg,DIII,#000000,#ffffff
Misericordia,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Misericordia.jpg,DIII,#000000,#ffffff
MIT,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/MIT.jpg,DIII,#000000,#ffffff
Monmouth,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Monmouth.jpg,DIII,#051844,#ffffff
Montclair State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Montclair%20State.jpg,DIII,#000000,#ffffff
Moravian,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Moravian.jpg,DIII,#000000,#ffffff
Morrisville State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Morrisville%20State.jpg,DIII,#000000,#ffffff
Mount St. Joseph,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Mount%20St.%20Joseph.jpg,DIII,#000000,#ffffff
Mount Union,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Mount%20Union.jpg,DIII,#000000,#ffffff
Muhlenberg,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Muhlenberg.jpg,DIII,#000000,#ffffff
Muskingum,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Muskingum.jpg,DIII,#000000,#ffffff
N.C. Wesleyan,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/N.C.%20Wesleyan.jpg,DIII,NA,NA
Nebraska Wesleyan,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Nebraska%20Wesleyan.jpg,DIII,#ffffff,#ffffff
Nichols,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Nichols.jpg,DIII,#000000,#ffffff
North Central (Ill.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/North%20Central%20(Ill.).jpg,DIII,NA,NA
North Park,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/North%20Park.jpg,DIII,#000000,#ffffff
Northwestern (Minn.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Northwestern%20(Minn.).jpg,DIII,NA,NA
Norwich,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Norwich.jpg,DIII,#000000,#ffffff
Simpson,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Simpson.jpg,DIII,NA,NA
Southern Virginia,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Southern%20Virginia.jpg,DIII,#000000,#ffffff
Southwestern,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Southwestern.jpg,DIII,NA,NA
Springfield,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Springfield.jpg,DIII,#000000,#ffffff
St. John Fisher,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20John%20Fisher.jpg,DIII,#000000,#ffffff
St. John's,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20John's.jpg,DIII,NA,NA
St. Lawrence,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Lawrence.jpg,DIII,#ffffff,#ffffff
St. Norbert,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Norbert.jpg,DIII,#000000,#ffffff
St. Olaf,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Olaf.jpg,DIII,#ffffff,#ffffff
St. Scholastica,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Scholastica.jpg,DIII,#000000,#ffffff
St. Thomas,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Thomas.jpg,DIII,#ffffff,#ffffff
St. Vincent,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/St.%20Vincent.jpg,DIII,#000000,#ffffff
Stevenson,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Stevenson.jpg,DIII,#000000,#ffffff
Sul Ross State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Sul%20Ross%20State.jpg,DIII,#000000,#ffffff
SUNY-Maritime,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/SUNY-Maritime.jpg,DIII,NA,NA
Susquehanna,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Susquehanna.jpg,DIII,#000000,#ffffff
TCNJ,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/TCNJ.jpg,DIII,NA,NA
Texas Lutheran,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Texas%20Lutheran.jpg,DIII,#000000,#ffffff
Thiel,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Thiel.jpg,DIII,#ffffff,#ffffff
Trine,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Trine.jpg,DIII,#000000,#ffffff
Trinity (Conn.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Trinity%20(Conn.).jpg,DIII,NA,NA
Trinity (Texas),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Trinity%20(Texas).jpg,DIII,#ffffff,#ffffff
Tufts,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Tufts.jpg,DIII,#000000,#ffffff
Union,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Union.jpg,DIII,#000000,#ffffff
University of New England,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/University%20of%20New%20England.jpg,DIII,NA,NA
Ursinus,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Ursinus.jpg,DIII,#000000,#ffffff
Utica,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Utica.jpg,DIII,#000000,#ffffff
UW-Eau Claire,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Eau%20Claire.jpg,DIII,NA,NA
UW-La Crosse,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-La%20Crosse.jpg,DIII,NA,NA
UW-Oshkosh,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Oshkosh.jpg,DIII,#000000,#ffffff
UW-Platteville,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Platteville.jpg,DIII,NA,NA
UW-River Falls,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-River%20Falls.jpg,DIII,#000000,#ffffff
UW-Stevens Point,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Stevens%20Point.jpg,DIII,NA,NA
UW-Stout,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Stout.jpg,DIII,#000000,#ffffff
UW-Whitewater,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/UW-Whitewater.jpg,DIII,#000000,#ffffff
Wabash,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wabash.jpg,DIII,NA,NA
Wartburg,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wartburg.jpg,DIII,#000000,#ffffff
Washington and Jefferson,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Washington%20and%20Jefferson.jpg,DIII,NA,NA
Washington and Lee,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Washington%20and%20Lee.jpg,DIII,NA,NA
Washington U.,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Washington%20U..jpg,DIII,NA,NA
Waynesburg,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Waynesburg.jpg,DIII,#000000,#ffffff
Wesley,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wesley.jpg,DIII,#ffffff,#ffffff
Wesleyan,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wesleyan.jpg,DIII,#000000,#ffffff
Western Connecticut,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Western%20Connecticut.jpg,DIII,NA,NA
Western New England,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Western%20New%20England.jpg,DIII,#000000,#ffffff
Westfield State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Westfield%20State.jpg,DIII,#000000,#ffffff
Westminster (Mo.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Westminster%20(Mo.).jpg,DIII,NA,NA
Westminster (Pa.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Westminster%20(Pa.).jpg,DIII,NA,NA
Wheaton (Ill.),https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wheaton%20(Ill.).jpg,DIII,NA,NA
Whittier,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Whittier.jpg,DIII,#000000,#ffffff
Whitworth,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Whitworth.jpg,DIII,#000000,#ffffff
Widener,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Widener.jpg,DIII,#000000,#ffffff
Wilkes,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wilkes.jpg,DIII,#000000,#ffffff
Willamette,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Willamette.jpg,DIII,#000000,#ffffff
William Paterson,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/William%20Paterson.jpg,DIII,#000000,#ffffff
Williams,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Williams.jpg,DIII,#000000,#ffffff
Wilmington,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wilmington.jpg,DIII,#ffffff,#ffffff
Wisconsin Lutheran,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wisconsin%20Lutheran.jpg,DIII,#000000,#ffffff
Wittenberg,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wittenberg.jpg,DIII,#000000,#ffffff
Wooster,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Wooster.jpg,DIII,#000000,#ffffff
Worcester State,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/Worcester%20State.jpg,DIII,NA,NA
WPI,https://raw.githubusercontent.com/Kazink36/cfbplotR/master/data-raw/dIII/WPI.jpg,DIII,NA,NA
ACC,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/1.png,Conference,NA,NA
Big 12,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/4.png,Conference,NA,NA
Big Ten,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/5.png,Conference,NA,NA
SEC,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/8.png,Conference,NA,NA
Pac-12,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/9.png,Conference,NA,NA
Conference USA,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/12.png,Conference,NA,NA
Mid-American,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/15.png,Conference,NA,NA
Mountain West,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/17.png,Conference,NA,NA
FBS Independents,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/18.png,Conference,NA,NA
Big Sky,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/20.png,Conference,NA,NA
MVFC,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/21.png,Conference,NA,NA
Ivy,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/22.png,Conference,NA,NA
MEAC,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/24.png,Conference,NA,NA
NEC,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/25.png,Conference,NA,NA
OVC,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/26.png,Conference,NA,NA
Patriot,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/27.png,Conference,NA,NA
Pioneer,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/28.png,Conference,NA,NA
Southern Conference,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/29.png,Conference,NA,NA
Southland,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/30.png,Conference,NA,NA
SWAC,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/31.png,Conference,NA,NA
Sun Belt,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/37.png,Conference,NA,NA
Big South,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/40.png,Conference,NA,NA
CAA,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/48.png,Conference,NA,NA
NCAA,https://upload.wikimedia.org/wikipedia/en/thumb/c/cf/NCAA_football_icon_logo.svg/2560px-NCAA_football_icon_logo.svg.png,Conference,NA,NA
American University,https://a.espncdn.com/i/teamlogos/ncaa/500/44.png,hoopR,#c41130,#c8102e
Bellarmine,https://a.espncdn.com/i/teamlogos/ncaa/500/91.png,hoopR,#000000,#ffffff
Belmont,https://a.espncdn.com/i/teamlogos/ncaa/500/2057.png,hoopR,#182142,#c9262d
Binghamton,https://a.espncdn.com/i/teamlogos/ncaa/500/2066.png,hoopR,#00614A,#f0f0f0
Boston University,https://a.espncdn.com/i/teamlogos/ncaa/500/104.png,hoopR,#cc0000,#ffffff
Bradley,https://a.espncdn.com/i/teamlogos/ncaa/500/71.png,hoopR,#b70002,#c0c0c0
CSU Bakersfield,https://a.espncdn.com/i/teamlogos/ncaa/500/2934.png,hoopR,#003BAB,#ffffff
CSU Fullerton,https://a.espncdn.com/i/teamlogos/ncaa/500/2239.png,hoopR,#003767,#ff8300
CSU Northridge,https://a.espncdn.com/i/teamlogos/ncaa/500/2463.png,hoopR,#b50000,#ffffff
California Baptist,https://a.espncdn.com/i/teamlogos/ncaa/500/2856.png,hoopR,#000000,#ffffff
Canisius,https://a.espncdn.com/i/teamlogos/ncaa/500/2099.png,hoopR,#004a81,#dda50f
Charleston,https://a.espncdn.com/i/teamlogos/ncaa/500/232.png,hoopR,#9c8456,#e4e2dd
Chicago State,https://a.espncdn.com/i/teamlogos/ncaa/500/2130.png,hoopR,#006700,#ffffff
Cleveland State,https://a.espncdn.com/i/teamlogos/ncaa/500/325.png,hoopR,#006633,#231f20
Coppin State,https://a.espncdn.com/i/teamlogos/ncaa/500/2154.png,hoopR,#2e3192,#ffd204
Creighton,https://a.espncdn.com/i/teamlogos/ncaa/500/156.png,hoopR,#13299e,#00235d
DePaul,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,hoopR,#2d649c,#ce1125
Denver,https://a.espncdn.com/i/teamlogos/ncaa/500/2172.png,hoopR,#9c143d,#d6ba74
Detroit Mercy,https://a.espncdn.com/i/teamlogos/ncaa/500/2174.png,hoopR,#165b9e,#d31733
Drexel,https://a.espncdn.com/i/teamlogos/ncaa/500/2182.png,hoopR,#020260,#ffd65a
Evansville,https://a.espncdn.com/i/teamlogos/ncaa/500/339.png,hoopR,#663399,#ef6f00
Fairfield,https://a.espncdn.com/i/teamlogos/ncaa/500/2217.png,hoopR,#000000,#ebebeb
Fairleigh Dickinson,https://a.espncdn.com/i/teamlogos/ncaa/500/161.png,hoopR,#28334a,#ffffff
Florida Gulf Coast,https://a.espncdn.com/i/teamlogos/ncaa/500/526.png,hoopR,#00885a,#076c3b
George Washington,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,hoopR,#002843,#e8d2a1
Gonzaga,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,hoopR,#002967,#cfd4d8
Grand Canyon,https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png,hoopR,#522398,#f0f0f0
Green Bay,https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png,hoopR,#006633,#b21038
Hartford,https://a.espncdn.com/i/teamlogos/ncaa/500/42.png,hoopR,#d60008,#000000
High Point,https://a.espncdn.com/i/teamlogos/ncaa/500/2272.png,hoopR,#b0b7bc,#ebebeb
IUPUI,https://a.espncdn.com/i/teamlogos/ncaa/500/85.png,hoopR,#A81F30,#d59f0f
Iona,https://a.espncdn.com/i/teamlogos/ncaa/500/314.png,hoopR,#8c001a,#f6a704
Kansas City,https://a.espncdn.com/i/teamlogos/ncaa/500/140.png,hoopR,#004b87,#ffc72c
La Salle,https://a.espncdn.com/i/teamlogos/ncaa/500/2325.png,hoopR,#003356,#ffce00
Lipscomb,https://a.espncdn.com/i/teamlogos/ncaa/500/288.png,hoopR,#20366C,#f6b734
Little Rock,https://a.espncdn.com/i/teamlogos/ncaa/500/2031.png,hoopR,#AD0000,#898d8f
Long Beach State,https://a.espncdn.com/i/teamlogos/ncaa/500/299.png,hoopR,#000000,#f1f2f3
Long Island University,https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png,hoopR,#50c9f7,#ffbf00
Longwood,https://a.espncdn.com/i/teamlogos/ncaa/500/2344.png,hoopR,#003273,#9ea2a3
Loyola (MD),https://a.espncdn.com/i/teamlogos/ncaa/500/2352.png,hoopR,#76a7a0,#c9cbca
Loyola Chicago,https://a.espncdn.com/i/teamlogos/ncaa/500/2350.png,hoopR,#9d1244,#ffffff
Loyola Marymount,https://a.espncdn.com/i/teamlogos/ncaa/500/2351.png,hoopR,#880029,#00345b
Manhattan,https://a.espncdn.com/i/teamlogos/ncaa/500/2363.png,hoopR,#4f8537,#b5b7ba
Marquette,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png,hoopR,#083963,#ffffff
Maryland-Eastern Shore,https://a.espncdn.com/i/teamlogos/ncaa/500/2379.png,hoopR,#5c2301,#b5b7ba
Milwaukee,https://a.espncdn.com/i/teamlogos/ncaa/500/270.png,hoopR,#000000,#ffc20e
Mount St. Mary's,https://a.espncdn.com/i/teamlogos/ncaa/500/116.png,hoopR,#005596,#ebebeb
NJIT,https://a.espncdn.com/i/teamlogos/ncaa/500/2885.png,hoopR,#EE3024,#df3e2e
New Orleans,https://a.espncdn.com/i/teamlogos/ncaa/500/2443.png,hoopR,#005da6,#a2a9ae
Niagara,https://a.espncdn.com/i/teamlogos/ncaa/500/315.png,hoopR,#69207E,#f0f0f0
North Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/2454.png,hoopR,#004B8D,#babcbe
Northern Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/94.png,hoopR,#000000,#eab621
Oakland,https://a.espncdn.com/i/teamlogos/ncaa/500/2473.png,hoopR,#04091c,#bc955c
Omaha,https://a.espncdn.com/i/teamlogos/ncaa/500/2437.png,hoopR,#e3193e,#ffffff
Oral Roberts,https://a.espncdn.com/i/teamlogos/ncaa/500/198.png,hoopR,#002955,#ccb48c
Pacific,https://a.espncdn.com/i/teamlogos/ncaa/500/279.png,hoopR,#F47820,#c2c3c0
Pepperdine,https://a.espncdn.com/i/teamlogos/ncaa/500/2492.png,hoopR,#003A72,#dc762f
Portland,https://a.espncdn.com/i/teamlogos/ncaa/500/2501.png,hoopR,#0e034e,#f0f0f0
Prairie View A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,hoopR,#4d0960,#ffffff
Presbyterian,https://a.espncdn.com/i/teamlogos/ncaa/500/2506.png,hoopR,#194896,#990134
Providence,https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png,hoopR,#000000,#7d8082
Purdue Fort Wayne,https://a.espncdn.com/i/teamlogos/ncaa/500/2870.png,hoopR,#00378A,#f0f0f0
Quinnipiac,https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png,hoopR,#041B43,#ffffff
Radford,https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png,hoopR,#BC1515,#c2c3c0
Rider,https://a.espncdn.com/i/teamlogos/ncaa/500/2520.png,hoopR,#a80532,#ebebeb
SE Louisiana,https://a.espncdn.com/i/teamlogos/ncaa/500/2545.png,hoopR,#215732,#ffc72c
SIU Edwardsville,https://a.espncdn.com/i/teamlogos/ncaa/500/2565.png,hoopR,#eb1c23,#080808
Saint Joseph's,https://a.espncdn.com/i/teamlogos/ncaa/500/2603.png,hoopR,#C2071B,#101010
Saint Louis,https://a.espncdn.com/i/teamlogos/ncaa/500/139.png,hoopR,#00539C,#ebebeb
Saint Mary's,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,hoopR,#003768,#d02f35
Saint Peter's,https://a.espncdn.com/i/teamlogos/ncaa/500/2612.png,hoopR,#004CC2,#ffffff
Sam Houston,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,hoopR,#fe5000,#000000
San Francisco,https://a.espncdn.com/i/teamlogos/ncaa/500/2539.png,hoopR,#22523F,#fbcd3c
Santa Clara,https://a.espncdn.com/i/teamlogos/ncaa/500/2541.png,hoopR,#690b0b,#101010
Seattle U,https://a.espncdn.com/i/teamlogos/ncaa/500/2547.png,hoopR,#BF2E1A,#c2c3c0
Seton Hall,https://a.espncdn.com/i/teamlogos/ncaa/500/2550.png,hoopR,#0857B1,#8a8d8f
Siena,https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png,hoopR,#037961,#eea60f
South Carolina Upstate,https://a.espncdn.com/i/teamlogos/ncaa/500/2908.png,hoopR,#008545,#000000
Southern Miss,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,hoopR,#FFAA3C,#ffc423
St. Bonaventure,https://a.espncdn.com/i/teamlogos/ncaa/500/179.png,hoopR,#70261D,#ffffff
St. Francis (BKN),https://a.espncdn.com/i/teamlogos/ncaa/500/2597.png,hoopR,#113682,#ffffff
St. Francis (PA),https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png,hoopR,#a20012,#ffffff
St. Thomas - Minnesota,https://a.espncdn.com/i/teamlogos/ncaa/500/2900.png,hoopR,#000000,#ffffff
Tarleton,https://a.espncdn.com/i/teamlogos/ncaa/500/2627.png,hoopR,#000000,#ffffff
Texas A&M-CC,https://a.espncdn.com/i/teamlogos/ncaa/500/357.png,hoopR,#00639c,#008752
UC Irvine,https://a.espncdn.com/i/teamlogos/ncaa/500/300.png,hoopR,#002B5C,#fec52e
UC Riverside,https://a.espncdn.com/i/teamlogos/ncaa/500/27.png,hoopR,#14234F,#ffffff
UC San Diego,https://a.espncdn.com/i/teamlogos/ncaa/500/28.png,hoopR,#000000,#ffffff
UC Santa Barbara,https://a.espncdn.com/i/teamlogos/ncaa/500/2540.png,hoopR,#1D1160,#fdb813
UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,hoopR,#001d40,#f1f2f3
UIC,https://a.espncdn.com/i/teamlogos/ncaa/500/82.png,hoopR,#001e62,#d50032
UL Monroe,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,hoopR,#231F20,#b18445
UMBC,https://a.espncdn.com/i/teamlogos/ncaa/500/2378.png,hoopR,#000000,#ad860a
UNC Asheville,https://a.espncdn.com/i/teamlogos/ncaa/500/2427.png,hoopR,#156199,#c2c3c0
UNC Greensboro,https://a.espncdn.com/i/teamlogos/ncaa/500/2430.png,hoopR,#003559,#ffd90a
UNC Wilmington,https://a.espncdn.com/i/teamlogos/ncaa/500/350.png,hoopR,#1d2f68,#00665e
UT Arlington,https://a.espncdn.com/i/teamlogos/ncaa/500/250.png,hoopR,#004b7c,#f58024
UT Rio Grande Valley,https://a.espncdn.com/i/teamlogos/ncaa/500/292.png,hoopR,#dc6000,#e1732d
UTSA,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,hoopR,#002A5C,#f47321
Utah Valley,https://a.espncdn.com/i/teamlogos/ncaa/500/3084.png,hoopR,#004812,#e1c736
VCU,https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png,hoopR,#929292,#edb71d
Vermont,https://a.espncdn.com/i/teamlogos/ncaa/500/261.png,hoopR,#013C24,#ffc72c
Wichita State,https://a.espncdn.com/i/teamlogos/ncaa/500/2724.png,hoopR,#0d0a03,#ffc41e
Winthrop,https://a.espncdn.com/i/teamlogos/ncaa/500/2737.png,hoopR,#9e0b0e,#fdb41e
Wright State,https://a.espncdn.com/i/teamlogos/ncaa/500/2750.png,hoopR,#cba052,#cba052
Xavier,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,hoopR,#002144,#9ea2a2
American Athletic,https://a.espncdn.com/i/teamlogos/ncaa_conf/500/151.png,Conference,NA,NA
